subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9004,1,10/10/2022,13:00:00,6,recall,9,NA,ride,2040.6558,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,6,recall,2,NA,alley,1307.9063,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,6,recall,3,NA,digit,1323.9047,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,6,recall,4,NA,plaza,3351.2713,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,6,recall,10,NA,lotus,1119.3198,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,6,recall,10,NA,reciept,1642.0151,0,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,7,recall,1,NA,saint,2962.1643,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,7,recall,2,NA,bench,1007.6186,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,7,recall,3,NA,adobe,1259.5487,1,NA,NA,NA,NA,NA,NA
9004,1,10/10/2022,13:00:00,7,recall,4,NA,armor,1195.9125,1,NA,NA,NA,NA,NA,NA
